fecha,id_producto,nombre_producto,categoria,id_sucursal,nombre_sucursal,proveedor,unidades_vendidas,unidades_recibidas,stock_cierre,precio_unitario,costo_unitario,importe_venta,importe_costo
2023-10-20,P016,Atún Lata 140g,Abarrotes,S01,Mérida Centro,Comercializadora Peninsular,54,0.0,66,23.19,11.0,1252.26,594.0
2023-10-27,P005,Cerveza Lata 355ml,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,28,0.0,114,27.45,14.0,768.6,392.0
2024-02-20,P017,Sopa Pasta 200g,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,28,0.0,75,15.22,7.0,426.16,196.0
2023-03-25,P013,Aceite Vegetal 1L,Abarrotes,S02,Mérida Norte,Grupo Abasto del Sur,17,99.0,237,55.39,28.0,941.63,476.0
2024-01-30,P010,Esponja Cocina Pack 3,Limpieza ,S02,Mérida Norte,Logística Maya S.A.,20,129.0,273,34.97,15.0,699.4,300.0
2024-03-16,P016,Atún Lata 140g,Abarrotes,S01,Mérida Centro,Comercializadora Peninsular,25,0.0,83,24.01,11.0,600.25,275.0
2023-07-09,P002,Refresco Cola 600ml,Bebidas,S05,Playa del Carmen,Logística Maya S.A.,47,0.0,220,21.65,10.5,1017.55,493.5
2023-08-29,P010,Esponja Cocina Pack 3,Limpieza,S03,Cancún,Proveedor Central del Caribe,13,0.0,188,33.87,15.0,440.31,195.0
2024-06-26,P007,Jabón Multiusos 500ml,Limpieza,S04,Cancún Centro,Logística Maya S.A.,16,0.0,229,42.78,,684.48,304.0
2023-05-02,P002,Refresco Cola 600ml,Bebidas,S04,Cancún Centro,Grupo Abasto del Sur,28,278.0,278,22.03,10.5,616.84,294.0
2023-05-17,P025,Papel Higiénico 4-pack,Higiene,S01,Mérida Centro,Grupo Abasto del Sur,57,0.0,86,62.48,30.0,3561.36,1710.0
2023-02-09,P016,Atún Lata 140g,Abarrotes,S04,Cancún Centro,Logística Maya S.A.,38,0.0,236,23.54,11.0,894.52,418.0
2023-12-29,P019,Harina de Trigo 1kg,Abarrotes,S04,Cancún Centro,Distribuidora Norte S.A.,22,0.0,118,21.7,10.0,477.4,220.0
2024-06-26,P025,Papel Higiénico 4-pack,Higiene,S03,Cancún,Distribuidora Norte S.A.,25,0.0,58,63.2,30.0,1580.0,750.0
2023-01-13,P025,Papel Higiénico 4-pack,Higiene,S03,Cancún,Distribuidora Norte S.A.,48,0.0,181,60.66,30.0,2911.68,1440.0
2023-02-22,P022,Yogurt Natural 1kg,Lácteos,S01,Mérida Centro,Grupo Abasto del Sur,14,0.0,70,50.81,26.0,711.34,364.0
2023-03-20,P005,Cerveza Lata 355ml,Bebidas,S03,Cancún,Comercializadora Peninsular,41,98.0,214,28.26,14.0,1158.66,574.0
2023-06-19,P019,Harina de Trigo 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,8,0.0,342,21.92,10.0,175.36,80.0
2023-12-18,P016,Atún Lata 140g,Abarrotes,S04,Cancún Centro,,27,0.0,0,23.26,11.0,628.02,297.0
2024-02-08,P013,Aceite Vegetal 1L,Abarrotes,S05,Playa del Carmen,Distribuidora Norte S.A.,12,0.0,97,54.95,28.0,659.4,336.0
2023-04-15,P013,Aceite Vegetal 1L,Abarrotes,S05,Playa del Carmen,Distribuidora Norte S.A.,16,155.0,192,54.13,28.0,866.08,448.0
2023/07/12,P016,Atún Lata 140g,Abarrotes,S04,Cancún Centro,Logística Maya S.A.,39,0.0,68,24.06,11.0,938.34,429.0
2023-03-15,P028,Jabón de Baño Pack 3,Higiene,S05,Playa del Carmen,Logística Maya S.A.,19,0.0,263,47.99,23.0,911.81,437.0
2024-06-16,P019,Harina de Trigo 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,17,0.0,119,22.25,10.0,378.25,170.0
2023-02-09,P013,Aceite Vegetal 1L,Abarrotes,S02,Mérida Norte,Grupo Abasto del Sur,12,0.0,103,53.34,28.0,640.08,336.0
2023-05-03,P007,Jabón Multiusos 500ml,Limpieza,S01,Mérida Centro,Distribuidora Norte S.A.,18,,150,42.45,19.0,764.1,342.0
2024-03-16,P005,Cerveza Lata 355ml,Bebidas,S05,Playa del Carmen,Grupo Abasto del Sur,38,,245,27.99,14.0,1063.62,532.0
2023-08-14,P016,Atún Lata 140g,Abarrotes,S02,Mérida Norte,Proveedor Central del Caribe,28,,95,23.29,11.0,652.12,308.0
2023-09-13,P007,Jabón Multiusos 500ml,Limpieza,S02,Mérida Norte,,19,0.0,167,40.39,19.0,767.41,361.0
2023-11-21,P005,Cerveza Lata 355ml,Bebidas,S03,Cancún,Comercializadora Peninsular,35,0.0,110,28.1,14.0,983.5,490.0
2023-02-21,P001,Agua Mineral 1L,Bebidas,S05,Playa del Carmen,Proveedor Central del Caribe,38,0.0,229,17.88,8.0,679.44,304.0
2023-04-24,P012,Frijol Negro 1kg,Abarrotes,S01,Mérida Centro,Logística Maya S.A.,10,,118,37.47,20.0,374.7,200.0
2023-02-13,P015,Azúcar Blanca 1kg,Abarrote,S05,Playa del Carmen,Logística Maya S.A.,19,0.0,269,26.97,14.0,512.43,266.0
2023-06-30,P012,Frijol Negro 1kg,Abarrotes,S05,Playa del Carmen,Comercializadora Peninsular,14,0.0,306,36.91,20.0,516.74,280.0
2024-02-10,P001,Agua Mineral 1L,BEBIDAS,S02,Mérida Norte,Comercializadora Peninsular,33,0.0,146,18.58,8.0,613.14,264.0
2023-03-17,P013,Aceite Vegetal 1L,Abarrotes,S03,Cancún,Distribuidora Norte S.A.,10,0.0,141,54.28,28.0,542.8,280.0
2024-04-15,P008,Cloro Blanqueador 1L,Limpieza,S02,Mérida Norte,Comercializadora Peninsular,3,0.0,360,28.01,12.0,84.03,36.0
2023-03-12,P011,Arroz Largo 1kg,abarrotes,S04,Cancún Centro,Logística Maya S.A.,36,0.0,206,30.91,18.0,1112.76,648.0
2023-02-11,P030,Toallas Húmedas 40pz,Higiene,S04,Cancún Centro,Logística Maya S.A.,1,0.0,529,53.77,27.0,53.77,27.0
2024-02-18,P022,Yogurt Natural 1kg,LÁCTEOS,S04,Cancún Centro,Proveedor Central del Caribe,9,0.0,97,50.41,26.0,453.69,234.0
2024-03-08,P003,Jugo Naranja 1L,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,19,0.0,41,33.83,16.0,642.77,304.0
2023-08-04,P004,Agua Sabor Limón 600ml,Bebidas,S05,Playa del Carmen,Comercializadora Peninsular,21,0.0,96,15.84,7.5,332.64,157.5
2023-01-17,P021,Queso Manchego 400g,Lácteos,S01,Mérida Centro,,22,72.0,115,96.0,50.0,2112.0,1100.0
2023-09-08,P019,Harina de Trigo 1kg,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,20,0.0,58,21.12,10.0,422.4,200.0
2023-07-30,P028,Jabón de Baño Pack 3,Higiene,S03,Cancún,Comercializadora Peninsular,9,62.0,151,47.12,23.0,424.08,207.0
2024-04-27,P023,Crema Ácida 200g,Lácteos,S02,Mérida Norte,Logística Maya S.A.,4,0.0,661,31.18,16.0,124.72,64.0
2024-01-09,P011,Arroz Largo 1kg,Abarrotes,S03,Cancún,Grupo Abasto del Sur,35,52.0,292,32.53,18.0,1138.55,630.0
2023-09-08,P011,Arroz Largo 1kg,Abarrotes,S02,Mérida Norte,,52,0.0,33,32.01,18.0,1664.52,936.0
2023-11-14,P021,Queso Manchego 400g,Lácteos,S05,Playa del Carmen,Proveedor Central del Caribe,8,0.0,147,94.93,50.0,759.44,400.0
2024-02-24,P024,Mantequilla 90g,Lácteos,S01,Mérida Centro,Proveedor Central del Caribe,6,,652,34.26,18.0,205.56,108.0
2023-06-23,P002,Refresco Cola 600ml,Bebidas,S02,Mérida Norte,Logística Maya S.A.,22,0.0,28,22.32,10.5,491.04,231.0
2023-07-12,P028,Jabón de Baño Pack 3,Higiene,S01,Mérida Centro,Comercializadora Peninsular,21,0.0,186,46.15,23.0,969.15,483.0
2024-03-01,P017,Sopa Pasta 200g,Abarrotes,S01,Mérida Centro,Grupo Abasto del Sur,33,0.0,28,15.28,7.0,504.24,231.0
2023-02-09,P003,Jugo Naranja 1L,Bebidas,S02,Mérida Norte,Grupo Abasto del Sur,14,0.0,118,34.17,16.0,478.38,224.0
2023-04-12,P022,Yogurt Natural 1kg,Lácteos,S05,Playa del Carmen,,18,0.0,221,51.83,26.0,932.94,468.0
2024-02-15,P010,Esponja Cocina Pack 3,Limpieza,S02,Mérida Norte,Logística Maya S.A.,13,0.0,105,35.24,15.0,458.12,195.0
2023-06-16,P017,Sopa Pasta 200g,Abarrotes,S05,playa del carmen,Logística Maya S.A.,20,0.0,319,15.28,7.0,305.6,140.0
2023-01-13,P018,Café Molido 250g,Abarrotes,S05,Playa del Carmen,,12,0.0,111,82.35,42.0,988.2,504.0
2024-01-18,P008,Cloro Blanqueador 1L,Limpieza,S04,cancun centro,Grupo Abasto del Sur,7,0.0,877,27.63,12.0,193.41,84.0
2023-05-28,P019,Harina de Trigo 1kg,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,21,0.0,103,21.52,10.0,451.92,210.0
2024-01-24,P007,Jabón Multiusos 500ml,Limpieza,S04,Cancún Centro,Logística Maya S.A.,18,0.0,185,40.37,19.0,726.66,342.0
2023-05-03,P013,Aceite Vegetal 1L,Abarrotes,S02,Mérida Norte,Grupo Abasto del Sur,17,0.0,389,53.39,28.0,907.63,476.0
2023-06-28,P001,Agua Mineral 1L,Bebidas,S02,Mérida Norte,Comercializadora Peninsular,48,76.0,217,18.26,8.0,876.48,384.0
2023-12-30,P014,Sal de Mesa 1kg,Abarrotes,S05,Playa del Carmen,Distribuidora Norte S.A.,1,0.0,851,18.16,8.0,18.16,8.0
2023-12-06,P020,Leche Entera 1L,Lácteos,S02,Mérida Norte,Comercializadora Peninsular,73,0.0,61,25.44,14.0,1857.12,1022.0
2023-09-21,P021,Queso Manchego 400g,Lácteos,S03,Cancún,Distribuidora Norte S.A.,16,0.0,299,95.22,50.0,1523.52,800.0
2023-07-25,P011,Arroz Largo 1kg,Abarrotes,S05,Playa del Carmen,Comercializadora Peninsular,35,0.0,178,32.21,18.0,1127.35,630.0
2024-02-08,P004,Agua Sabor Limón 600ml,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,14,0.0,183,15.71,7.5,219.94,105.0
2024-06-04,P016,Atún Lata 140g,Abarrotes,S01,Mérida Centro,Comercializadora Peninsular,24,109.0,278,23.13,11.0,555.12,264.0
2023-04-25,P021,Queso Manchego 400g,Lácteos,S04,Cancún Centro,Distribuidora Norte S.A.,10,0.0,187,94.71,50.0,947.1,500.0
2023-03-10,P019,Harina de Trigo 1kg,Abarrotes,S04,Cancún Centro,Distribuidora Norte S.A.,15,0.0,135,22.08,10.0,331.2,150.0
2023-10-10,P002,Refresco Cola 600ml,Bebidas,S03,cancun,Grupo Abasto del Sur,30,0.0,140,21.97,10.5,659.1,315.0
2023-03-12,P019,Harina de Trigo 1kg,ABARROTES,S04,Cancún Centro,Distribuidora Norte S.A.,9,0.0,126,21.98,10.0,197.82,90.0
2023-07-30,P007,Jabón Multiusos 500ml,Limpieza,S04,Cancún Centro,Logística Maya S.A.,6,0.0,160,40.82,19.0,244.92,114.0
2023-07-19,P020,Leche Entera 1L,Lácteos,S03,Cancún,Grupo Abasto del Sur,33,0.0,188,25.22,14.0,832.26,462.0
2023-09-13,P019,Harina de Trigo 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,11,0.0,441,21.65,10.0,238.15,110.0
2024-05-28,P020,Leche Entera 1L,Lácteos,S02,Mérida Norte,Comercializadora Peninsular,40,241.0,280,25.15,14.0,1006.0,560.0
2023-07-26,P002,Refresco Cola 600ml,Bebidas,S01,Mérida Centro,Proveedor Central del Caribe,42,178.0,225,21.72,10.5,912.24,441.0
2023-10-29,P020,Leche Entera 1L,Lácteos,S01,Mérida Centro,Comercializadora Peninsular,42,0.0,63,26.0,14.0,1092.0,588.0
2023-06-27,P025,Papel Higiénico 4-pack,higiene,S02,Merida Norte,Distribuidora Norte S.A.,20,0.0,282,63.19,30.0,1263.8,600.0
2023-09-23,P016,Atún Lata 140g,Abarrotes,S01,Merida Centro,Comercializadora Peninsular,21,0.0,156,24.34,11.0,511.14,231.0
2024-04-17,P027,Pasta Dental 100ml,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,11,0.0,144,45.02,22.0,495.22,242.0
2023-07-22,P023,Crema Ácida 200g,Lácteos,S01,Mérida Centro,Grupo Abasto del Sur,5,0.0,747,32.38,16.0,161.9,80.0
2024-02-22,P015,Azúcar Blanca 1kg,Abarrotes,S04,Cancún Centro,Comercializadora Peninsular,8,0.0,277,27.29,14.0,218.32,112.0
2023-12-07,P017,Sopa Pasta 200g,Abarrotes,S02,Mérida Norte,Comercializadora Peninsular,80,0.0,140,14.94,7.0,1195.2,560.0
2023-02-16,P013,Aceite Vegetal 1L,Abarrotes,S04,Cancún Centro,Logística Maya S.A.,18,0.0,128,54.19,28.0,975.42,504.0
2024-05-27,P027,Pasta Dental 100ml,Higiene,S01,Mérida Centro,Proveedor Central del Caribe,16,0.0,282,44.17,22.0,706.72,352.0
2023-11-11,P025,Papel Higiénico 4-pack,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,54,0.0,163,61.46,30.0,3318.84,1620.0
2024-01-21,P023,Crema Ácida 200g,LÁCTEOS,S04,Cancún Centro,Proveedor Central del Caribe,3,0.0,1550,31.03,16.0,93.09,48.0
2023-09-02,P025,Papel Higiénico 4-pack,Higiene,S03,Cancún,Distribuidora Norte S.A.,54,0.0,93,63.09,30.0,3406.86,1620.0
2024-02-11,P013,Aceite Vegetal 1L,Abarrotes,S05,Playa del Carmen,Distribuidora Norte S.A.,20,0.0,68,56.01,28.0,1120.2,560.0
2023-07-31,P030,Toallas Húmedas 40pz,Higiene,S04,Cancún Centro,Logística Maya S.A.,3,0.0,581,52.86,27.0,158.58,81.0
2023-03-09,P018,Café Molido 250g,Abarrotes,S03,Cancún,Comercializadora Peninsular,19,0.0,118,83.6,42.0,1588.4,798.0
2024-02-26,P018,Café Molido 250g,Abarrotes,S01,Mérida Centro,Distribuidora Norte S.A.,19,164.0,172,84.01,42.0,1596.19,798.0
2024-03-09,P021,Queso Manchego 400g,Lácteos,S01,Mérida Centro,Distribuidora Norte S.A.,16,0.0,196,94.55,,1512.8,800.0
2024-06-07,P003,Jugo Naranja 1L,Bebidas,S05,Playa del Carmen,Grupo Abasto del Sur,23,109.0,246,33.67,16.0,774.41,368.0
2023-09-27,P025,Papel Higiénico 4-pack,Higiene,S01,Mérida Centro,Grupo Abasto del Sur,31,0.0,105,62.01,30.0,1922.31,930.0
2023-10-01,P019,Harina de Trigo 1kg,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,12,0.0,209,21.81,10.0,261.72,120.0
2024-06-29,P023,Crema Ácida 200g,lacteos,S01,Mérida Centro,Grupo Abasto del Sur,2,0.0,1128,32.52,16.0,65.04,32.0
2024-05-11,P021,Queso Manchego 400g,Lácteos,S04,Cancún Centro,Distribuidora Norte S.A.,14,87.0,306,94.88,50.0,1328.32,700.0
2023-08-31,P012,Frijol Negro 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,6,175.0,234,37.04,20.0,222.24,120.0
2023/01/18,P012,Frijol Negro 1kg,Abarrotes,S01,Mérida Centro,Logística Maya S.A.,22,87.0,378,36.52,20.0,803.44,440.0
2024-05-23,P011,Arroz Largo 1kg,Abarrotes,S04,Cancún Centro,Logística Maya S.A.,29,0.0,66,31.88,18.0,924.52,522.0
2024-05-03,P019,Harina de Trigo 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,12,0.0,164,22.33,10.0,267.96,120.0
2023-07-08,P020,Leche Entera 1L,Lácteos,S03,Cancún,Grupo Abasto del Sur,25,0.0,243,26.43,14.0,660.75,350.0
2024-06-25,P007,Jabón Multiusos 500ml,Limpieza,S01,Mérida Centro,Distribuidora Norte S.A.,13,,69,40.71,19.0,529.23,247.0
2024-06-10,P006,Detergente Líquido 1L,LIMPIEZA,S05,Playa del Carmen,Distribuidora Norte S.A.,14,0.0,149,75.79,35.0,1061.06,490.0
2023-01-26,P017,Sopa Pasta 200g,Abarrotes,S01,Mérida Centro,Grupo Abasto del Sur,38,0.0,93,15.29,7.0,581.02,266.0
2023-08-03,P027,Pasta Dental 100ml,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,8,0.0,151,44.01,22.0,352.08,176.0
2023-10-11,P001,Agua Mineral 1L,Bebidas,S03,Cancún,Grupo Abasto del Sur,55,0.0,193,18.28,8.0,1005.4,440.0
2023-03-17,P002,Refresco Cola 600ml,BEBIDAS,S01,Mérida Centro,Proveedor Central del Caribe,18,0.0,180,21.84,10.5,393.12,189.0
2024-02-03,P024,Mantequilla 90g,Lácteos,S01,Mérida Centro,Proveedor Central del Caribe,3,0.0,604,33.83,18.0,101.49,54.0
2024-04-09,P016,Atún Lata 140g,Abarrotes,S03,Cancún,Distribuidora Norte S.A.,37,194.0,227,23.97,11.0,886.89,407.0
2023-04-05,P022,Yogurt Natural 1kg,Lácteos,S04,Cancún Centro,Proveedor Central del Caribe,10,0.0,310,52.6,26.0,526.0,260.0
2023-09-11,P027,Pasta Dental 100ml,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,18,0.0,186,43.55,22.0,783.9,396.0
2023-10-20,P005,Cerveza Lata 355ml,bebidas,S01,Mérida Centro,Distribuidora Norte S.A.,19,0.0,68,27.47,14.0,521.93,266.0
2023-11-06,P008,Cloro Blanqueador 1L,Limpieza,S03,Cancún,Comercializadora Peninsular,4,0.0,475,27.14,,108.56,48.0
2023-05-10,P025,Papel Higiénico 4-pack,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,51,250.0,250,60.04,30.0,3062.04,1530.0
2023-12-05,P007,Jabón Multiusos 500ml,Limpieza,S05,Playa del Carmen,Proveedor Central del Caribe,8,0.0,79,41.08,19.0,328.64,152.0
2023-12-15,P002,Refresco Cola 600ml,Bebidas,S02,Mérida Norte,Logística Maya S.A.,51,0.0,228,21.42,10.5,1092.42,535.5
2023-10-03,P020,Leche Entera 1L,Lácteos,S04,Cancún Centro,Grupo Abasto del Sur,32,0.0,191,25.72,14.0,823.04,448.0
2023-05-23,P009,Suavizante Ropa 1L,Limpieza,S03,Cancún,Comercializadora Peninsular,5,0.0,402,65.51,30.0,327.55,150.0
2023-05-15,P021,Queso Manchego 400g,Lácteos,S05,Playa del Carmen,Proveedor Central del Caribe,17,133.0,179,95.4,50.0,1621.8,850.0
2024-04-30,P021,Queso Manchego 400g,Lácteos,S01,Mérida Centro,Distribuidora Norte S.A.,6,0.0,158,92.93,50.0,557.58,300.0
2023-07-09,P014,Sal de Mesa 1kg,ABARROTES,S04,Cancún Centro,Logística Maya S.A.,1,92.0,1094,17.83,8.0,17.83,8.0
2023-02-05,P026,Shampoo 400ml,Higiene,S05,Playa del Carmen,Distribuidora Norte S.A.,21,0.0,134,76.38,38.0,1603.98,798.0
2024-04-14,P014,Sal de Mesa 1kg,Abarrotes,S05,Playa del Carmen,Distribuidora Norte S.A.,6,0.0,874,17.35,8.0,104.1,48.0
2023-11-30,P002,Refresco Cola 600ml,Bebidas,S04,Cancún Centro,Grupo Abasto del Sur,19,0.0,239,21.86,10.5,415.34,199.5
2023-06-04,P017,Sopa Pasta 200g,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,21,0.0,141,14.72,7.0,309.12,147.0
2023-10-16,P015,Azúcar Blanca 1kg,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,20,0.0,127,27.61,14.0,552.2,280.0
2023-03-31,P005,Cerveza Lata 355ml,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,34,0.0,90,28.1,14.0,955.4,476.0
2023-12-27,P010,Esponja Cocina Pack 3,Limpieza,S02,Mérida Norte,Logística Maya S.A.,16,0.0,88,35.63,15.0,570.08,240.0
2024-03-12,P010,Esponja Cocina Pack 3,Limpieza ,S02,Mérida Norte,Logística Maya S.A.,21,0.0,148,35.18,15.0,738.78,315.0
2023-07-28,P009,Suavizante Ropa 1L,Limpieza,S01,Mérida Centro,Proveedor Central del Caribe,4,0.0,693,65.69,30.0,262.76,120.0
2023-11-20,P002,Refresco Cola 600ml,Bebidas,S02,Mérida Norte,,50,0.0,186,22.2,10.5,1110.0,525.0
2023-06-18,P004,Agua Sabor Limón 600ml,Bebidas,S02,Mérida Norte,Comercializadora Peninsular,24,0.0,114,15.75,7.5,378.0,180.0
2023-09-17,P014,Sal de Mesa 1kg,ABARROTES,S02,Mérida Norte,Grupo Abasto del Sur,2,0.0,624,17.67,8.0,35.34,16.0
2023-05-07,P024,Mantequilla 90g,Lácteos,S03,Cancún,Grupo Abasto del Sur,4,0.0,495,33.73,18.0,134.92,72.0
2023-09-16,P025,Papel Higiénico 4-pack,Higiene,S05,Playa del Carmen,Comercializadora Peninsular,55,0.0,120,60.7,30.0,3338.5,1650.0
2023-02-03,P019,Harina de Trigo 1kg,Abarrotes,S03,Cancún,Proveedor Central del Caribe,10,0.0,102,22.19,10.0,221.9,100.0
2024-01-05,P021,Queso Manchego 400g,Lácteos,S03,Cancún,Distribuidora Norte S.A.,11,0.0,139,95.64,50.0,1052.04,550.0
2023-10-07,P025,Papel Higiénico 4-pack,Higiene,S03,Cancún,Distribuidora Norte S.A.,46,223.0,248,62.27,30.0,2864.42,1380.0
2023-05-17,P022,Yogurt Natural 1kg,Lácteos,S05,Playa del Carmen,Comercializadora Peninsular,16,0.0,104,52.3,26.0,836.8,416.0
2023-07-28,P025,Papel Higiénico 4-pack,Higiene,S05,Playa del Carmen,Comercializadora Peninsular,28,0.0,82,60.07,30.0,1681.96,840.0
2023-09-13,P013,Aceite Vegetal 1L,Abarrotes,S02,Mérida Norte,Grupo Abasto del Sur,12,0.0,175,55.55,28.0,666.6,336.0
2024-04-03,P015,Azúcar Blanca 1kg,Abarrotes,S05,Playa del Carmen,Logística Maya S.A.,15,0.0,175,28.4,14.0,426.0,210.0
2024-01-07,P015,Azúcar Blanca 1kg,Abarrotes,S02,Mérida Norte,Proveedor Central del Caribe,18,0.0,165,27.68,14.0,498.24,252.0
2024-01-05,P024,Mantequilla 90g,Lácteos,S02,Mérida Norte,Distribuidora Norte S.A.,2,0.0,552,35.48,18.0,70.96,36.0
2023-03-01,P011,Arroz Largo 1kg,Abarrotes,S01,Mérida Centro,Comercializadora Peninsular,44,0.0,213,32.32,18.0,1422.08,792.0
2023-03-27,P003,Jugo Naranja 1L,Bebidas,S01,Mérida Centro,Logística Maya S.A.,18,0.0,137,33.7,16.0,606.6,288.0
2023/03/05,P025,Papel Higiénico 4-pack,Higiene,S04,Cancún Centro,Distribuidora Norte S.A.,0,271.0,271,61.46,30.0,0.0,0.0
2023-07-26,P018,Café Molido 250g,Abarrotes,S03,Cancún,Comercializadora Peninsular,6,0.0,293,81.76,,490.56,252.0
2023-05-28,P018,Café Molido 250g,Abarrotes,S01,Mérida Centro,Distribuidora Norte S.A.,16,82.0,254,83.54,42.0,1336.64,672.0
2024-05-14,P025,Papel Higiénico 4-pack,Higiene,S02,Mérida Norte,Distribuidora Norte S.A.,21,0.0,241,61.41,30.0,1289.61,630.0
2023-07-11,P016,Atún Lata 140g,Abarrotes,S03,Cancún,Distribuidora Norte S.A.,27,0.0,99,23.99,11.0,647.73,297.0
2023-01-13,P010,Esponja Cocina Pack 3,Limpieza,S02,Mérida Norte,Logística Maya S.A.,19,0.0,68,35.36,15.0,671.84,285.0
2024-03-19,P013,Aceite Vegetal 1L,Abarrotes,S01,Mérida Centro,Logística Maya S.A.,7,0.0,98,55.97,28.0,391.79,196.0
2023-08-27,P001,Agua Mineral 1L,Bebidas,S03,Cancún,Grupo Abasto del Sur,30,0.0,189,18.54,8.0,556.2,240.0
2024-02-06,P003,Jugo Naranja 1L,Bebidas,S04,Cancún Centro,Proveedor Central del Caribe,18,200.0,225,33.74,16.0,607.32,288.0
2024-04-16,P004,Agua Sabor Limón 600ml,Bebidas,S02,Mérida Norte,Comercializadora Peninsular,5,,145,15.66,,78.3,37.5
2024-03-14,P029,Desodorante Spray 150ml,Higiene,S04,Cancún Centro,Comercializadora Peninsular,4,0.0,1104,69.34,35.0,277.36,140.0
2023-03-01,P004,Agua Sabor Limón 600ml,Bebidas,S05,Playa del Carmen,Comercializadora Peninsular,6,0.0,154,16.32,7.5,97.92,45.0
