fecha,campana_id,canal,tipo_campana,objetivo,audiencia,impresiones,clics,ctr,cpc_mxn,gasto_mxn,conversiones,valor_conv_mxn,roas,dia_semana
2024-07-26,GG-SRC-003,GOOGLE,Search,Clics,Intención: como perder peso en casa,526,22,0.04178,18.48,423.53,0,0.0,0.0,Friday
2024-04-02,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,6685,131,0.0196,6.08,799.13,1,466.35,0.58,Tuesday
2024-03-14,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,321,30,0.09338,24.75,747.62,1,713.91,0.95,Thursday
2024-08-12,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,489,23,0.04695,20.32,472.28,0,0.0,0.0,Monday
2024-07-21,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,226,13,0.05737,22.0,287.27,0,0.0,0.0,Sunday
2024-09-29,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,9091,127,0.01397,4.95,632.44,1,541.32,0.86,Sunday
2024-07-26,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,9965,76,0.00763,5.36,409.58,0,0.0,0.0,Friday
2024-10-18,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,5590,167,0.02987,5.27,881.43,5,4225.65,4.79,Friday
2024-03-27,GG-SRC-001,Google,Search,,,742,61,,16.62,1023.54,3,1919.46,1.88,Wednesday
2024-11-28,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,876,57,0.06502,16.3,939.18,2,1248.59,1.33,Thursday
2024-05-29,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,5705,220,0.03856,5.48,1210.7,7,4247.52,3.51,Wednesday
2024-07-02,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2165,58,0.02678,10.29,604.17,1,645.45,1.07,Tuesday
2024-10-20,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,517,32,0.06184,18.34,587.0,1,817.19,1.39,Sunday
2024-06-25,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,592,52,0.08781,18.69,983.22,2,1033.74,1.05,Tuesday
2024-07-18,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3974,85,0.02138,6.44,552.69,1,740.25,1.34,Thursday
2024-05-05,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,9971,178,0.01785,4.82,860.55,1,586.56,0.68,Sunday
2024-07-31,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,289,20,0.06918,21.46,449.14,0,0.0,0.0,Wednesday
2024-02-18,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4537,135,0.02975,5.65,767.63,3,2389.86,3.11,Sunday
2024-03-19,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,14242,164,0.01152,4.77,783.46,1,583.49,0.74,Tuesday
2024-03-26,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,21649,235,0.01085,2.55,601.33,1,1097.72,1.83,Tuesday
2024-03-21,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,528,57,0.10794,20.37,1163.61,3,1667.24,1.43,Thursday
2024-08-03,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4138,83,0.02005,6.54,543.88,1,544.25,1.0,Saturday
2024-11-24,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,7713,104,0.01348,5.79,608.35,0,0.0,0.0,Sunday
2024-01-12,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,25690,257,0.01,3.18,817.09,3,2289.4,2.8,Friday
2024-02-22,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2287,83,0.03628,11.13,923.65,5,1017.65,1.1,Thursday
2024-02-13,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1997,91,0.04556,12.5,1138.57,5,3276.65,2.88,Tuesday
2024-06-05,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,11564,236,0.02041,4.42,1044.1,1,646.86,0.62,Wednesday
2024-06-26,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3385,144,0.04253,7.28,1054.23,3,2322.29,2.2,Wednesday
2024-03-14,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,345,30,0.0868,19.52,602.03,1,484.3,0.8,Thursday
2024-01-20,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,615,58,0.09417,17.55,1018.12,6,4728.97,4.64,Saturday
2024-05-26,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1806,104,0.05758,12.13,1264.5,7,3969.8,3.14,Sunday
2024-04-13,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2121,114,0.05374,10.41,1195.06,9,6119.55,5.12,Saturday
2024-01-09,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,15392,386,0.02508,3.38,1308.39,3,1314.07,1.0,Tuesday
2024-04-09,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",4699,142,0.03022,6.13,871.42,1,709.61,0.81,Tuesday
2024-07-26,FB-CON-002,FB,Consideracion,,,3802,80,,6.52,528.41,1,890.96,1.69,Friday
2024-10-10,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",4424,104,0.0235,6.41,668.04,2,1322.38,1.98,Thursday
2024-03-29,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4266,145,0.03399,7.28,1061.4,4,2890.81,2.72,Friday
2024-10-07,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,528,47,0.08889,19.59,936.94,2,1036.83,1.11,Monday
2024-05-01,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",7671,170,0.02216,6.09,1036.27,2,1528.32,1.47,Wednesday
2024-11-26,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3482,94,0.02699,8.48,797.53,1,974.67,1.22,Tuesday
2024-09-24,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,19251,229,0.01189,2.84,650.04,2,1004.37,1.55,Tuesday
2024-09-02,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,360,29,0.08051,22.09,649.11,2,1544.26,2.38,Monday
2024-06-21,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3838,127,0.03309,7.36,937.58,3,2724.71,2.91,Friday
2024-12-14,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3546,46,0.01297,6.93,325.49,0,0.0,0.0,Saturday
2024-09-14,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,10869,154,0.01417,3.38,521.4,1,497.67,0.95,Saturday
2024-03-07,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1636,84,0.05132,12.31,1039.66,5,2899.71,2.79,Thursday
2024-12-15,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1308,37,0.02827,14.28,542.04,1,598.8,1.1,Sunday
2024-11-21,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1859,76,0.04088,11.89,905.62,4,2852.31,3.15,Thursday
2024-08-26,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2337,75,0.03209,10.87,816.12,4,2759.11,3.38,Monday
2024-05-12,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",6084,145,0.02383,5.08,736.63,2,1284.13,1.74,Sunday
2024-01-30,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2259,138,0.06109,13.27,1834.85,12,7448.06,4.06,Tuesday
2024-09-24,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,10188,176,0.01727,4.77,842.21,1,632.06,0.75,Tuesday
2024-12-05,GG-SRC-002,GOOGLE,Search,Clics,Intención: meditacion guiada online,467,21,0.04488,21.82,470.84,0,0.0,0.0,Thursday
2024-04-10,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,8570,216,0.0252,3.96,856.56,1,687.64,0.8,Wednesday
2024-10-28,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1769,89,0.05029,13.79,1237.4,3,1790.87,1.45,Monday
2024-07-11,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1677,53,0.03159,13.34,714.7,1,679.03,0.95,Thursday
2024-10-27,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,878,48,0.05467,16.28,785.26,2,992.72,1.26,Sunday
2024-09-08,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,12085,187,0.01547,3.92,733.86,1,741.05,1.01,Sunday
2024-09-23,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,14534,259,0.01782,3.2,829.43,2,809.4,0.98,Monday
2024-07-08,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",7465,111,0.01487,4.56,510.32,0,0.0,0.0,Monday
2024-04-27,FB-AWA-001,facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,12448,204,0.01639,4.1,836.99,1,561.42,0.67,Saturday
2024-05-20,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2237,119,0.05319,11.39,1364.7,8,4500.63,3.3,Monday
2024-07-12,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,11389,108,0.00948,4.86,527.79,0,0.0,0.0,Friday
2024-07-25,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1745,58,0.03322,10.95,644.55,2,1369.14,2.12,Thursday
2024-05-31,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,598,68,0.11368,19.12,1317.91,4,2510.08,1.9,Friday
2024-08-02,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,11376,132,0.0116,4.28,568.81,0,0.0,0.0,Friday
2024-07-23,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,17620,118,0.0067,3.25,385.72,0,0.0,0.0,Tuesday
2024-11-23,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2416,87,0.03601,10.39,912.19,4,2732.89,3.0,Saturday
2024-06-29,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,427,38,0.08897,17.4,670.9,1,708.99,1.06,Saturday
2024-03-08,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3334,122,0.03659,7.79,958.54,3,2375.2,2.48,Friday
2024-02-20,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,18999,195,0.01026,3.04,593.32,1,644.89,1.09,Tuesday
2024-11-15,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2995,108,0.03606,9.77,1056.47,6,2294.91,2.17,Friday
2024-03-08,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,254,32,0.12561,23.62,767.66,1,632.72,0.82,Friday
2024-09-14,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,642,35,0.05451,20.13,715.05,1,299.48,0.42,Saturday
2024-03-27,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",9267,146,0.01575,5.15,752.96,1,727.9,0.97,Wednesday
2024-08-18,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",5177,91,0.01757,5.52,504.86,0,0.0,0.0,Sunday
2024-10-16,FB-AWA-002,Meta,Awareness,Alcance,Lookalike 1% compradores anteriores,8379,141,0.01683,4.46,629.51,0,0.0,0.0,Wednesday
2024-02-24,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3656,137,0.03747,6.11,841.81,3,2047.41,2.43,Saturday
2024-04-25,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,395,33,0.08339,23.26,789.36,1,675.8,0.86,Thursday
2024-10-21,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",6225,123,0.01976,5.31,655.68,2,1909.19,2.91,Monday
2024-01-19,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",6165,217,0.0352,6.21,1349.49,4,2487.79,1.84,Friday
2024-07-07,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3832,61,0.01592,6.39,393.97,0,0.0,0.0,Sunday
2024-03-15,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1635,88,0.05381,11.15,990.97,5,3308.73,3.34,Friday
2024-06-13,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,511,49,0.09573,20.11,989.16,2,1569.47,1.59,Thursday
2024-02-04,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2068,87,0.04207,12.61,1101.01,4,2590.61,2.35,Sunday
2024-10-20,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1989,63,0.03167,12.77,815.7,3,2822.52,3.46,Sunday
2024-10-09,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,15453,165,0.01068,2.73,452.15,1,538.54,1.19,Wednesday
2024-06-13,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,326,27,0.08259,20.67,570.67,1,683.73,1.2,Thursday
2024-01-05,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,5188,275,0.05301,5.92,1630.08,8,6083.48,3.73,Friday
2024-12-29,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,251,10,0.03984,22.46,241.18,0,0.0,0.0,Sunday
2024-06-01,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1593,101,0.06337,10.87,1104.46,7,6180.98,5.6,Saturday
2024-04-14,GG-SRC-003,Google Ads,Search,Clics,Intención: como perder peso en casa,357,33,0.09238,21.29,714.39,2,1223.65,1.71,Sunday
2024-12-05,FB-CVR-001,Facebook,Conversion,,,1675,43,,13.18,571.77,1,504.45,0.88,Thursday
2024-08-06,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,15635,133,0.00851,2.88,384.04,1,606.28,1.58,Tuesday
2024-01-16,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,502,60,0.11946,19.55,1188.09,4,3011.41,2.53,Tuesday
2024-11-18,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,27228,154,0.00566,3.11,478.33,0,0.0,0.0,Monday
2024-06-18,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",6744,136,0.02016,5.1,698.43,2,1087.73,1.56,Tuesday
2024-06-03,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3049,108,0.03541,7.6,823.57,2,1864.85,2.26,Monday
2024-04-11,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,661,46,0.06955,17.99,843.38,2,1282.94,1.52,Thursday
2024-12-03,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3818,76,0.01991,6.39,491.73,0,0.0,0.0,Tuesday
2024-01-01,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2112,143,0.06768,12.45,1783.73,11,4625.51,2.59,Monday
2024-06-15,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,321,29,0.09018,23.83,712.99,1,981.52,1.38,Saturday
2024-08-15,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1650,61,0.03696,13.93,857.38,2,1343.97,1.57,Thursday
2024-10-17,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,9648,144,0.01492,4.18,603.81,0,0.0,0.0,Thursday
2024-11-27,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,2184,92,0.04211,11.84,1093.94,5,4061.58,3.71,Wednesday
2024-09-17,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1403,85,0.06054,13.54,1158.94,4,1604.9,1.38,Tuesday
2024-04-17,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,445,47,0.10546,18.14,859.63,2,1323.45,1.54,Wednesday
2024-02-14,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2133,137,0.06422,10.14,1398.2,9,5114.4,3.66,Wednesday
2024-04-19,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,471,50,0.10596,17.44,878.71,2,1009.58,1.15,Friday
2024-10-06,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,17344,175,0.01009,2.62,460.6,1,665.94,1.45,Sunday
2024-04-21,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,738,69,0.09349,17.64,1222.19,5,2850.61,2.33,Sunday
2024-01-19,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,569,71,0.12475,18.45,1325.88,8,7445.81,5.62,Friday
2024-02-22,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",5460,145,0.02655,5.02,728.78,2,1522.79,2.09,Thursday
2024-06-06,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,537,65,0.12098,18.19,1187.11,3,2620.6,2.21,Thursday
2024-04-09,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,3532,163,0.04614,8.14,1332.83,5,4198.6,3.15,Tuesday
2024-12-28,GG-DSP-001,Google,Display,Impresiones,Afinidad: bienestar y fitness,16095,67,0.00416,3.61,244.44,0,0.0,0.0,Saturday
19/04/2024,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,5947,227,0.03817,5.39,1227.99,9,5760.64,4.69,Friday
2024-08-26,FB-AWA-002,Meta,Awareness,Alcance,Lookalike 1% compradores anteriores,19086,129,0.00676,3.72,480.02,0,0.0,0.0,Monday
2024-04-11,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",5931,161,0.02714,5.63,912.27,2,982.67,1.08,Thursday
2024-02-15,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,2157,110,0.05097,11.6,1286.77,8,5642.07,4.38,Thursday
2024-03-21,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,8666,159,0.01835,4.35,695.23,0,0.0,0.0,Thursday
2024-12-13,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,597,26,0.04353,20.33,543.9,0,0.0,0.0,Friday
2024-06-21,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,13054,243,0.01861,4.02,978.1,1,691.3,0.71,Friday
2024-07-15,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,634,36,0.05676,17.99,651.79,1,462.56,0.71,Monday
2024-10-21,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,9034,136,0.01505,4.64,632.93,0,0.0,0.0,Monday
2024-11-14,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,460,32,0.06948,18.32,601.45,1,623.63,1.04,Thursday
2024-05-02,FB-CVR-001,Facebook,Conversion,Compras,Retargeting carrito abandonado,1435,92,0.0641,14.75,1366.9,8,6953.93,5.09,Thursday
2024-02-17,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,371,34,0.09159,18.69,636.92,2,1433.17,2.25,Saturday
2024-02-17,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4703,138,0.02934,6.77,936.08,3,2363.61,2.53,Saturday
2024-02-24,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,35848,279,0.00778,2.11,591.11,2,1479.32,2.5,Saturday
2024-05-14,GG-DSP-001,G Ads,Display,Impresiones,Afinidad: bienestar y fitness,16305,198,0.01214,3.65,725.39,2,898.4,1.24,Tuesday
2024-08-11,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,434,30,0.069,19.46,587.93,1,578.74,0.98,Sunday
2024-06-10,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,666,61,0.09156,18.71,1146.13,2,830.21,0.72,Monday
2024-05-02,GG-SRC-003,Google,Search,Clics,Intención: como perder peso en casa,340,43,0.12645,20.6,899.99,3,1642.46,1.82,Thursday
2024-08-18,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",4142,103,0.02487,6.06,626.78,1,517.87,0.83,Sunday
2024-04-22,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,675,70,0.10362,15.34,1081.72,4,3090.72,2.86,Monday
2024-09-24,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",8279,173,0.0209,5.07,877.11,1,429.37,0.49,Tuesday
2024-10-18,FB-CON-002,Facebook,Consideracion,Trafico,"Intereses: yoga, meditacion, fitness",3585,102,0.02845,6.61,679.77,2,598.24,0.88,Friday
2024-02-08,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,10195,179,0.01756,4.84,867.45,0,0.0,0.0,Thursday
2024-10-31,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,8717,131,0.01503,5.08,671.08,1,239.2,0.36,Thursday
2024-06-17,GG-DSP-001,google,Display,Impresiones,Afinidad: bienestar y fitness,16427,220,0.01339,3.01,662.8,2,1120.89,1.69,Monday
2024-02-18,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",4897,107,0.02185,5.47,587.96,1,704.25,1.2,Sunday
2024-08-20,FB-CVR-001,FB,Conversion,Compras,Retargeting carrito abandonado,2264,72,0.0318,12.11,873.53,2,1333.98,1.53,Tuesday
2024-11-17,GG-DSP-002,Google,Display,Impresiones,Remarketing sitio web 7 días,16320,150,0.00919,2.79,419.31,1,653.05,1.56,Sunday
2024-07-25,FB-AWA-002,FB,Awareness,Alcance,Lookalike 1% compradores anteriores,7477,71,0.0095,4.95,352.75,0,0.0,0.0,Thursday
2024-03-20,GG-YTB-001,Google,YouTube,Vistas,"Canal: wellness, yoga, fitness",5196,128,0.02463,4.94,634.01,1,571.54,0.9,Wednesday
2024-12-11,GG-SRC-002,Google,Search,Clics,Intención: meditacion guiada online,519,23,0.04424,16.69,390.09,0,0.0,0.0,Wednesday
2024-10-18,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1828,74,0.04046,12.89,958.3,4,2958.41,3.09,Friday
2024-04-12,FB-CVR-002,Facebook,Conversion,Compras,Lookalike 3% suscriptores activos,1571,102,0.06492,11.49,1182.81,7,5343.95,4.52,Friday
2024-05-12,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,639,70,0.1094,18.44,1293.47,5,3788.31,2.93,Sunday
2024-11-11,GG-DSP-002,Google,Display,Impresiones,,16882,144,0.00853,3.69,532.45,0,0.0,0.0,Monday
2024-05-16,FB-AWA-002,Facebook,Awareness,Alcance,Lookalike 1% compradores anteriores,13437,219,0.0163,4.33,951.45,1,352.02,0.37,Thursday
2024-01-03,GG-SRC-001,Google,Search,Clics,Intención: cursos de yoga online MX,904,109,0.12046,17.79,1940.39,10,4499.85,2.32,Wednesday
2024-11-19,FB-AWA-001,Facebook,Awareness,Alcance,Mujeres 25-40 CDMX interesadas en bienestar,13155,176,0.01338,3.74,660.38,0,0.0,0.0,Tuesday
2024-02-20,FB-CON-001,Facebook,Consideracion,Trafico,Retargeting visitantes 30 días,4191,151,0.03602,6.18,935.74,2,1502.38,1.61,Tuesday
